time,cloudCover,windBearing
1487307600,0.31,188
1487311200,0.5,193
1487314800,0.31,195
1487318400,0.31,184
1487322000,0.31,173
1487325600,0,172
1487329200,0.31,169
1487332800,0.39,158
1487336400,0.27,146
1487340000,0.14,147
1487343600,0,118
1487347200,0.12,119
1487350800,0.13,180
1487354400,0.25,334
1487358000,0.15,327
1487361600,0.19,342
1487365200,0.12,11
1487368800,0.15,342
1487372400,0.12,341
1487376000,0.18,339
1487379600,0.09,346
1487383200,0.03,0
1487386800,0.07,359
1487390400,0.08,4
1487394000,0.11,8
1487397600,0.24,0
1487401200,0.11,356
1487404800,0.27,4
1487408400,0.09,357
1487412000,0.09,5
1487415600,0.31,357
1487419200,0.61,356
1487422800,0,16
1487440800,1,350
1487462400,1,174
1487476800,0.11,171
1487480400,0.31,159
1487484000,0.82,164
1487487600,0,174
1487491200,0.31,155
1487494800,0.31,162
1487498400,0.31,140
1487505600,1,134
1487509200,0.31,154
1487512800,0.31,142
1487516400,0.31,147
1487523600,0.31,150
1487527200,0.48,160
1487534400,0.31,170
1487538000,0.31,163
1487545200,0.31,153
1487548800,0.8,154
1487552400,0.31,167
1487556000,0.31,178
1487559600,0.31,170
1487563200,0.31,171
1487566800,0.31,167
1487570400,0.31,169
1487574000,0.31,168
1487577600,0.31,177
1487581200,0.28,167
1487584800,0.31,135
1487592000,1,44
1487595600,0.31,7
1487599200,0.31,14
1487606400,0.31,349
1487610000,0,0
1487613600,0.73,354
1487617200,0,353
1487620800,0,338
1487635200,1,177
1487642400,0.31,137
1487656800,1,107
1487664000,0.31,51
1487667600,0.31,7
1487671200,0.27,353
1487678400,1,358
1487685600,0.31,5
1487689200,0.31,4
1487700000,1,352
1487718000,0,42
1487721600,0.75,74
1487725200,0.31,196
1487728800,0.31,171
1487732400,0.31,141
1487736000,0.09,126
1487739600,0.14,102
1487743200,0.43,88
1487746800,0,103
1487750400,0,116
1487754000,0.12,119
1487757600,0,118
1487761200,0.17,142
1487764800,0.4,118
1487768400,0.19,130
1487772000,0.12,127
1487775600,0.2,136
1487779200,0.31,128
1487782800,0.24,139
1487786400,1,155
1487790000,0.31,189
1487793600,0.27,198
1487797200,0.17,236
1487800800,0.29,237
1487804400,0.23,283
1487808000,0.19,333
1487811600,0.22,342
1487815200,0.15,317
1487818800,0.19,336
1487822400,0.31,343
1487826000,0.25,329
1487829600,0.22,312
1487833200,0.19,297
1487836800,0.07,314
1487840400,0.15,280
1487847600,0.31,292
1487851200,1,272
1487862000,0,341
1487872800,0.54,326
1487880000,0.31,241
1487883600,0.11,211
1487887200,0.31,313
1487890800,0.17,304
1487894400,0.34,297
1487898000,0.16,244
1487901600,0.22,225
1487905200,0.25,148
1487908800,0.31,150
1487912400,0.31,148
1487916000,0.75,142
1487919600,0.31,142
1487923200,0.18,148
1487926800,0.19,152
1487930400,0.21,178
1487934000,0.08,167
1487937600,0.23,163
1487941200,0.31,162
1487948400,0.17,179
1487952000,0.31,169
1487959200,0.7,130
1487962800,0.23,195
